yg,yang
gak,tidak
aja,saja
ga,tidak
malah,malahan
apk,aplikasi
udah,sudah
gk,tidak
ribet,rumit
kalo,kalau
selalu,tetap
kenapa,mengapa
g,tidak
eror,error
biar,agar
tp,tetapi
lemot,lambat
loading,memuat
tdk,tidak
utk,untuk
pas,tepat
tetep,tetap
urus,atur
jelek,buruk
mending,mending
instal,unduh
bener,benar
benerin,perbaiki
taik,sampah
emng,memang
kebuka,terbuka
bner,benar
ilang,hilang
parah,buruk
kalian,anda sekalian
full,penuh
dateng,datang
repot,susah
ngurus,urus
kali,sangat
trus,selalu
ganti,ubah
makin,semakin
gabisa,tidak bisa
nggak,tidak
app,aplikasi
karna,karena
bs,bisa
kk,kartu
bsa,bisa
tau,tahu
good,bagus
gampang,mudah
dgn,dengan
balik,kembali
blm,belum
jd,jadi
jg,juga
sampe,sampai
banget,sangat
nyusahin,susah
apknya,aplikasi
ngak,tidak
login,registrasi
lbh,lebih
ap,apa
hnya,hanya
lu,anda
untk,untuk
nyoba,coba
kacau,rusak
kocak,lucu
ad,ada
busuk,buruk
dtg,datang
dlm,dalam
knp,kenapa
kirain,kira
dll,lain
tpi,tetapi
super,sangat
bnget,sangat
sya,saya
yakali,sulit dipercaya
smpai,sampai
bad,buruk
slalu,selalu
diinstal,unduh
scand,memindai
sana,disana
web,situs
mlh,malahan
gede,besar
taunya,ternyata
masok,masuk
suru,meminta
rating,nilai
lelet,lambat
paket,kuota
paketan,kuota
org,saya
gmn,bagaimana
gimana,bagaimana
bobrok,buruk
ngambil,ambil
keren,bagus
bukak,buka
pake,menggunakan
dipake,menggunakan
tgl,tanggal
duit,uang
Cuma,hanya
barcodenya,barcode
scanbarcode,memindai
emang,memang
dapetin,mendapatkan
qr,barcode
gini,begini
udh,sudah
password,sandi
sekelas,setara
muka,wajah
knapa,mengapa
tim,kelompok
konek,koneksi
payah,buruk
bnyak,banyak
dikasih,kasih
gajelas,buruk
lgi,lagi
doank,hanya
kgk,tidak
apalah,kecewa
ngajuin,mengajukan
masukkin,memasukkan
tutorial,langkah-langkah
males,malas
adain,mengadakan
bkn,bukan
kepake,digunakan
sms,pesan
byk,banyak
websitenya,situs
tuh,itu
bngt,sangat
muter2,memuat
dr,dari
uda,sudah
download,unduh
gimna,bagaimana
install,unduh
njir,gila
dk,tidak
out,keluar
konoha,indonesia
ampas,sampah
nyesel,kecewa
trnyata,ternyata
lawak,lucu
nyari,mencari
mnta,meminta
lemah,payah
ora,tidak
ra,tidak
applikasinya,aplikasi
developer,pengembang
mala,malahan
bbrp,beberapa
padahl,padahal
masak,masa
mengantri,antri
staff,pengurus
krn,karena
nmr,nomor
video,rekaman
lemotnya,lambat
lainya,lain
mendingan,mending
doc,dokumen
seluler,ponsel
hp,ponsel
signal,sinyal
klau,kalau
dri,dari
abis,setelah
abisini,setelah
uninstal,hapus
scan,memindai
burik,buruk
reset,mengulang
enggak,tidak
melulu,selalu
bukanya,bukannya
butuhin,butuh
tolonglah,tolong
mw,ingin
becus,buruk
tu,itu
indentitas,identitas
donlot,unduh
bermasalah,masalah
ruwet,rumit
idk,tidak tahu
donwload,unduh
buang2,sia-sia
meski,walaupun
tdak,tidak
barkot,barcode
simple,simpel
restart,mengulang
permudah,dipermudahkan
log,registrasi
gada,tidak
valid,validasi
mobile,ponsel
biso,bisa
best,terbaik
macem,seperti
menghandle,mengurus
inet,internet
dev,pengembang
msi,masih
masi,masih
offline,luring
online,daring
powerfull,bagus
dftar,daftar
tak,tidak
lola,lambat
msh,masih
dcari,cari
memakan,sia-sia
mantab,bagus
butuhkan,membutuhkan
ngulang,mengulang
ngebantu,terbantu
didownload,unduh
norak,buruk
dpt,dapat
pisik,fisik
hannya,hanya
punnya,punya
adroit,android
sj,saja
scane,memindai
sll,selalu
bnr,benar
kluar,keluar
mempunnyai,punya
kesel,kecewa
prov,provinsi
applikasi,aplikasi
pakek,menggunakan
bgus,bagus
belom,belum
delete,hapus
ok,oke
ak,saya
card,kartu
dsb,lainnya
fix,pasti
plis,mohon
kkantor,kantor
cacad,buruk
doang,hanya
buset,gila
dbuka,dibuka
malahah,malahan
gx,tidak
pinter,pintar
ndak,tidak
bosok,buruk
pw,sandi
bug,error
yo,iya
ajah,saja
shrusny,seharusnya
publish,terbit
balikin,kembalikan
lag,lambat
minus,kurang
dowload,unduh
mulu,selalu
maintenance,perbaikan
skali,sekali
knpa,mengapa
spt,seperti
gara,akibat
cape,kecewa
jaman,zaman
perbagus,ditingkatkan
bz,bisa
kagak,tidak
aing,saya
bnged,sangat
buru,cepat
pns,pegawai
sorry,maaf
otp,kode
gabisaa,tidak
ecek,pura-pura
kepwndusukan,kependudukan
ads,ada
siawmgisi,sia-sia
bengini,begini
katasandi,sandi
sdangkan,sedangkan
gmail,email
direstat,diulang
soluusine,solusi
pelayanya,pelayanan
gaberes,buruk
errornya,error
daripada,lebih baik
ngurusin,urus
bagusilmu,bagus
revisi,perbaikan
rempong,buruk
daruratkuota,darurat kuota
asu,sampah
spam,tidak
urgent,darurat
ugent,darurat
buatkan,buat
mintain,meminta
inginnya,ingin
ngelag,lambat
lantas,jadi
brp,berapa
tai,sampah
kl,kalau
sampahan,sampah
mau,ingin
dukcapil,disdukcapil
mendukung,dukung
disduk,disdukcapil
sempurna,bagus
ktpkk,ktp
ektp,ktp
digitalisasi,digital
cuman,hanya
kebanyakan,banyak
gw,saya
liat,lihat
software,perangkat
update,perbarui
upgrade,meningkatkan
provider,internet
kecapil,disdukcapil
kya,seperti
alangkah,seharusnya
sihatau,atau
bergunaa,berguna
tibatiba,ternyata
diuji,coba
sy,saya
gaada,tidak
cek,lihat
id,nomor
apl,aplikasi
menurutku,menurut
parahjaringan,lambat
klo,kalau
dah,sudah
ramutu,buruk
gd,tidak
nian,sangat
force,paksa
close,tutup
yng,yang
ijin,izin
liat,lihat
sulit percaya,sulit
dmanapun,dimanapun
gimimck,pura
aplikaai,aplikasi
trims,terimakasih
aj,saja
mendesak,desak
mendesakk,desak
mnt,minta
ampe,sampai
kendala,masalah
smartphone,ponsel
lalu,setelah
temu,cari
temukan,cari
gbisa,tidak
gjls,buruk
apkny,aplikas
yoi,iya
trs,terus
ya,iya
k, oke
feeling,perasaan
disaat,ketika
bandel,melawan
tbtb,tibatiba
diem,diam
anjlok,rusak
iyalah,iya
rame,ramai
gasi,tidak
bully,rundung
gedeg,kesal
dlu,dulu
mmg,memang
aware,waspada
mnrt,menurut
gajadi,tidak
pesen,pesan
test,tes
have,punya
good,bagus
gtu,begitu
twt,tweet
skrng,sekarang
cost,biaya
membersamai,bersama
sprti,seperti
ilang,hilang
inget,ingat
jkt,jakarta
situ,disana
reply,balas
gk,tidak
value,nilai
jgn,jangan
lo,anda
but,tapi
yak,iya
wkwkwkwk,ketawa
klu,jika
mw,mau
gamau,tidak
elu,anda
taun,tahun
emng,memang
plan,rencana
better,bagus
by,dari
ttp,tetap
ancur,jelek
jdi,jadi
free,gratis
tp,tapi
life,hidup
mesti,seharusnya
just,hanya
happy,senang
tolol,buruk
living,hidup
ae,aja
lgsg,langsung
gmn,bagaimana
pgn,ingin
so,jadi
ntar,nanti
real,nyata
gabisa,tidak
udh,sudah
gue,saya
indo,indonesia
indon,indonesia
yuk,ayok
konoha,indonesia
kemaren,kemarin
gampang,mudah
join,ikut
wah,wow
pengen,ingin
bgt,sangat
us,amerika
gausah,tidak
kmrn,kemarin
allah,tuhan
emg,memang
that,itu
usah,tidak
tdk,tidak
blm,belum
ngga,tidak
to,kepada
cepet,cepat
gini,ini
temen,teman
for,untuk
emang,memang
you,anda
tu,itu
bs,bisa
nggak,tidak
w,saya
ni,ini
lg,lagi
info,informasi
org,orang
skrg,sekarang
sm,sama
sana,disana
in,dalam
tuh,itu
tau,tahu
sampe,sampai
wkwk,ketawa
bener,benar
jg,juga
lu,anda
yap,iya
wish,harap
me,saya
luck,beruntung
monggo,silahkan
mon,mohon
maap,maaf
kainginan,keinginan
finally,akhirnya
we,kita
gonna,akan
die,mati
poverty,kemiskinan
unjustice,ketidakadilan
even,bahkan
taneman,tanaman
australi,australia
apkh,apakah
kacaw,kacau
or,atau
pny,punya
aje,saja
thai,thailand
psangan,pasangan
singapor,singapore
shock,kaget
rekomen,rekomendasi
jamjam,waktu
moga,semoga
